buildingid,ib1000buil,TYPEOFBUIL,height,floor,gfa,x,y
"289","1108246912",P,6.1,"2","1949",840945.125,819018.899
"290","1108246926",P,13.9,"4","3499",840901.790,818983.343
"291","1810106525",T,81.1,"27","38770",840771.757,818943.389
"292","1108246782",P,72.5,"24","222648",841236.593,819248.632
"293","1108246858",P,16.1,"5","486",840941.434,819151.844
"294","1108246822",P,15.3,"5","6981",840622.392,819209.022
"295","1108246802",P,13.7,"4","11662",840552.410,819230.169
"296","1108246792",P,11.3,"3","4370",840519.426,819262.064
"297","1108246841",P,15.6,"5","12987",840907.331,819161.658
"298","1108246849",P,14.0,"4","3784",840749.569,819161.844
"299","1108246784",P,14.4,"4","2973",841139.059,819287.238
"300","1108246810",P,15.2,"5","4486",840753.224,819228.230
"301","1108246795",P,12.9,"4","2585",841123.490,819268.266
"302","1108246844",P,10.5,"3","2596",841202.747,819170.080
"303","1108246853",P,15.3,"5","12080",841333.788,819137.155
"304","1108246799",P,22.8,"7","10666",840679.217,819243.751
"305","1108246793",P,13.4,"4","6772",840808.144,819259.333
"306","1108239554",T,30.4,"10","9610",840787.382,819193.058
"307","1108239602",T,100.3,"33","18453",840810.659,819180.522
"308","1108246842",P,4.8,"1","974",840804.025,819175.189
"309","1810148891",T,3.0,"1","23",840789.211,819177.630
"310","1810148922",T,6.3,"2","446",840796.690,819163.392
"311","1108239670",T,47.3,"15","59654",840847.171,819133.597
"312","1108239933",T,15.2,"5","1802",840865.938,819087.417
"313","1108239890",T,39.6,"13","5806",840876.926,819096.705
"314","1108246739",P,11.3,"3","2689",840698.614,819360.565
"315","1108246707",P,17.4,"5","4472",840649.596,819408.495
"316","1108238444",T,40.5,"13","11190",840634.011,819424.710
"317","1108238825",T,23.7,"7","5541",840716.088,819345.354
"318","1108246733",P,9.8,"3","2686",840682.321,819376.550
"319","1108246749",P,12.2,"4","4010",840716.817,819344.363
"321","1810140934",T,90.2,"30","69156",840137.460,819660.904
"322","1810140935",T,90.2,"30","68695",840182.718,819617.117
"323","1108237145",T,33.4,"11","3617",840261.931,819671.601
"324","1108238443",T,26.9,"8","3886",840551.991,819427.860
"325","1108239469",T,30.3,"10","13090",840859.897,819205.890
"326","1108240625",T,80.7,"26","65577",841079.301,818767.973
"327","1108240933",T,80.7,"26","65800",841132.055,818704.490
"328","1810137351",P,15.0,"5","12824",840999.423,819118.997
"329","1810142075",P,6.3,"2","5033",840136.025,819658.998
"330","1810142077",P,6.3,"2","5081",840180.777,819615.115
"331","1108236750",T,46.3,"15","5078",840165.403,819728.049
"332","1108237031",T,40.0,"13","2198",840201.204,819692.806
"333","1108237073",T,37.3,"12","4938",840212.497,819681.481
"334","1108237236",T,42.2,"14","2333",840233.737,819660.666
"335","1108237284",T,42.3,"14","4622",840243.645,819651.180
"336","1108236845",T,39.4,"13","3308",840176.705,819716.890
"337","1108236969",T,30.6,"10","2517",840192.952,819700.789
"338","1810160033",T,63.8,"21","2500",840184.569,819708.496
"339","1810160036",P,15.0,"5","730",840185.568,819709.586
"340","1810138524",P,38.6,"12","19337",840706.594,819417.623
"343","1108246626",P,15.3,"5","2296",840318.027,819578.343
"344","1108246720",P,11.1,"3","2679",840732.499,819395.086
"345","1108246691",P,15.6,"5","8779",840675.376,819450.474
"346","1108239672",T,33.7,"11","7918",840748.454,819160.917
"347","1108239734",T,45.8,"15","5889",840683.975,819145.827
"348","1108239760",T,44.7,"14","28479",841161.922,819120.666
"349","1108239721",T,46.1,"15","13999",841213.596,819143.263
"350","1108239802",T,41.8,"13","5581",840700.054,819121.344
"351","1108239790",T,46.2,"15","13695",841232.967,819119.909
"352","1108239831",T,47.2,"15","7956",840711.974,819111.451
"353","1108239876",T,27.9,"9","4765",840721.579,819099.551
"354","1108240065",T,45.2,"15","8604",840769.405,819040.408
"355","1108240024",T,47.6,"15","8297",840759.901,819052.265
"356","1108240089",T,45.1,"15","17541",840783.571,819022.069
"357","1108240158",T,42.8,"14","13243",841156.464,818993.284
